,Mobile devices,,,All devices,,,Mobile devices,,,All devices,,
19-May-19,782663,634806,147857,1007603,834696,172907,2703071,1535289,1167782,4709898,2441651,2268247
20-May-19,800026,593878,206148,1014437,788734,225703,2882482,1632553,1249929,5062447,2633131,2429316
21-May-19,743106,550048,193058,1012568,748295,264273,2751416,1461847,1289569,6139082,2909063,3230019
22-May-19,734607,620798,113809,938368,793732,144636,2657490,1374893,1282597,6015555,2835436,3180119
23-May-19,712647,624317,88330,967977,800369,167608,2631904,1542611,1089293,5915001,3003719,2911282
24-May-19,693407,654743,38664,903982,860830,43152,2568031,1529714,1038317,5670813,2941967,2728846
25-May-19,705306,608325,96981,898971,784301,114670,2588619,1540683,1047936,5625874,2866863,2759011
26-May-19,734592,634205,100387,951243,834349,116894,2609028,1527371,1081657,4602258,2414979,2187279
27-May-19,783200,607119,176081,1019830,844317,175513,2843846,1544706,1299140,4960953,2469254,2491699
28-May-19,817980,679812,138168,1067932,942180,125752,2811053,1495137,1315916,6176617,3045206,3131411
29-May-19,807459,661912,145547,1039946,880074,159872,2899687,1667831,1231856,6328100,3225660,3102440
30-May-19,770515,610248,160267,968355,823514,144841,2936677,1531867,1404810,6285468,2944310,3341158
31-May-19,784030,640280,143750,976654,850999,125655,2801418,1490157,1311261,6220995,3006796,3214199
1-Jun-19,868406,649303,219103,1072459,817116,255343,2787210,1613621,1173589,5885397,3059894,2825503
2-Jun-19,838030,638428,199602,1071493,842921,228572,3114703,1639423,1475280,5391771,2614613,2777158
3-Jun-19,774523,694913,79610,1001633,943604,58029,3117752,1605516,1512236,5314964,2519939,2795025
4-Jun-19,770150,673405,96745,1001491,898768,102723,2940853,1695833,1245020,5185402,2702894,2482508
5-Jun-19,792652,697943,94709,1045311,932247,113064,2825243,1605628,1219615,6206437,3092502,3113935
6-Jun-19,793167,689986,103181,1030071,913172,116899,2924740,1695793,1228947,6430584,3292892,3137692
7-Jun-19,790084,684918,105166,980746,921938,58808,2920637,1711401,1209236,6255869,3234484,3021385
8-Jun-19,782283,697600,84683,963260,913938,49322,2892946,1713965,1178981,6180578,3199497,2981081
9-Jun-19,795417,691343,104074,1077754,903190,174564,2816076,1764726,1051350,4929237,2808803,2120434
10-Jun-19,733999,653206,80793,1038765,913844,124921,2967605,1677806,1289799,5213989,2644674,2569315
11-Jun-19,770988,622976,148012,1000533,894081,106452,2678252,1600765,1077487,5973110,3103433,2869677
12-Jun-19,874267,658966,215301,1094435,875045,219390,2692129,1494644,1197485,5934337,2897497,3036840
13-Jun-19,844285,696480,147805,1065741,935282,130459,2884008,1569525,1314483,6148892,2992442,3156450
14-Jun-19,868266,724334,143932,1094312,968717,125595,2870883,1604905,1265978,6131694,3003120,3128574
15-Jun-19,872205,631714,240491,1099339,851379,247960,2860820,1695391,1165429,5954305,3057760,2896545
16-Jun-19,904988,744134,160854,1190086,1001991,188095,3117739,1568092,1549647,5408510,2515453,2893057
17-Jun-19,763080,618017,145063,1011086,846383,164703,3139780,1756398,1383382,5392214,2727101,2665113
18-Jun-19,749246,603645,145601,968351,830088,138263,2646267,1471197,1175070,5863811,2941641,2922170
19-Jun-19,853710,672268,181442,1094202,903418,190784,2700937,1471162,1229775,5913613,2918416,2995197
20-Jun-19,840516,708489,132027,1087591,925905,161686,2890554,1599740,1290814,6110826,3053184,3057642
21-Jun-19,840136,657819,182317,1079678,893693,185985,2824725,1670227,1154498,6030536,3128794,2901742
22-Jun-19,819402,626891,192511,1055418,877128,178290,2827440,1583839,1243601,5892817,2961725,2931092
23-Jun-19,821964,648321,173643,1043206,902581,140625,2989416,1586748,1402668,5134003,2516265,2617738
24-Jun-19,839160,652564,186596,1161014,986388,174626,3065254,1715734,1349520,5295811,2710890,2584921
25-Jun-19,802327,611827,190500,1045915,841244,204671,3010934,1593535,1417399,6536311,3101269,3435042
26-Jun-19,727317,605400,121917,950581,842886,107695,2849878,1538021,1311857,6178956,3017451,3161505
27-Jun-19,765754,641402,124352,970988,891625,79363,2596098,1481182,1114916,5676296,2852477,2823819
28-Jun-19,730519,584924,145595,914746,821264,93482,2704833,1574503,1130330,5804954,2989517,2815437
29-Jun-19,748797,623457,125340,937650,850122,87528,2615353,1441868,1173485,5559201,2754760,2804441
30-Jun-19,825859,597717,228142,1041513,910510,131003,2759355,1478776,1280579,4722543,2310970,2411573
1-Jul-19,781303,589995,191308,1013319,875549,137770,2933376,1483778,1449598,4978962,2337843,2641119
2-Jul-19,845851,607219,238632,1088079,815143,272936,2735558,1475574,1259984,5926917,2935345,2991572
3-Jul-19,854546,683864,170682,1073031,922572,150459,2935683,1498707,1436976,6300818,2933706,3367112
4-Jul-19,835076,675709,159367,1074001,919375,154626,2937563,1657201,1280362,6276087,3148600,3127487
5-Jul-19,829264,627159,202105,1055387,838787,216600,2899728,1695603,1204125,6150378,3248930,2901448
6-Jul-19,834048,631281,202767,1045440,874964,170476,2921656,1557360,1364296,6137372,2970518,3166854
7-Jul-19,810568,658479,152089,1111055,914816,196239,3043182,1654360,1388822,5184738,2613758,2570980
8-Jul-19,862048,660127,201921,1352305,991627,360678,3035043,1655464,1379579,5211587,2570502,2641085
9-Jul-19,753483,612839,140644,1034131,844969,189162,2992822,1625007,1367815,6256457,3069920,3186537
10-Jul-19,843668,636551,207117,1122817,940760,182057,2767943,1501779,1266164,5865341,2858447,3006894
11-Jul-19,837252,672469,164783,1086074,942273,143801,3185579,1670681,1514898,6518603,3113432,3405171
12-Jul-19,802978,636656,166322,1021442,1105416,-83974,3010194,1692628,1317566,6202221,3176886,3025335
13-Jul-19,752568,573062,179506,964106,922812,41294,3008562,1541601,1466961,6233190,2882150,3351040
14-Jul-19,874723,685279,189444,1134102,966421,167681,2928438,1493827,1434611,5054748,2394342,2660406
15-Jul-19,885789,753927,131862,1238167,1147501,90666,3392273,1765128,1627145,5853856,2781802,3072054
16-Jul-19,798029,618983,179046,1087475,954011,133464,3421389,1966464,1454925,6865326,3552231,3313095
17-Jul-19,807280,655216,152064,1041723,946176,95547,2841736,1532647,1309089,6114641,2991263,3123378
18-Jul-19,735296,650582,84714,993250,1051424,-58174,2702820,1590644,1112176,5778309,3019331,2758978
19-Jul-19,958554,605669,352885,1248738,878644,370094,2629748,1574335,1055413,5683077,2948772,2734305
20-Jul-19,834888,642214,192674,1112864,927192,185672,3318692,1540353,1778339,6813817,2946164,3867653
21-Jul-19,881198,685022,196176,1172897,973009,199888,3079379,1687576,1391803,5281762,2691552,2590210
22-Jul-19,838667,658953,179714,1171918,983440,188478,3177393,1776209,1401184,5401923,2779316,2622607
23-Jul-19,772585,686747,85838,1034949,965742,69207,3143720,1677217,1466503,6789125,3244009,3545116
24-Jul-19,805756,618988,186768,1034694,896696,137998,2799609,1683164,1116445,6138822,3179624,2959198
25-Jul-19,824800,677397,147403,1090786,934070,156716,2767421,1513013,1254408,6002938,2944965,3057973
26-Jul-19,770424,597193,173231,1002227,840578,161649,2813223,1613029,1200194,6064494,3054807,3009687
27-Jul-19,836217,656670,179547,1101650,892424,209226,2694082,1454733,1239349,5744304,2784047,2960257
28-Jul-19,840260,589943,250317,1114227,826560,287667,2989279,1660505,1328774,5044241,2598877,2445364
29-Jul-19,830930,657120,173810,1112185,891021,221164,3082598,1538109,1544489,5268886,2465030,2803856
30-Jul-19,813141,648536,164605,1058002,901723,156279,2993249,1608190,1385059,6569639,3161868,3407771
31-Jul-19,816367,637104,179263,1043733,882782,160951,2820034,1620657,1199377,6200591,3135958,3064633
1-Aug-19,800064,647582,152482,1008820,895198,113622,2842587,1577802,1264785,6208759,3045586,3163173
2-Aug-19,793217,588924,204293,997059,803905,193154,2708440,1567169,1141271,5902982,3014346,2888636
3-Aug-19,807206,591961,215245,1027266,808573,218693,2853898,1497352,1356546,6107855,2848915,3258940
4-Aug-19,851870,635628,216242,1094203,842877,251326,2915222,1565907,1349315,5026179,2524543,2501636
5-Aug-19,806331,665147,141184,1073100,941736,131364,3209737,1658470,1551267,5542886,2680503,2862383
6-Aug-19,815659,763828,51831,1057411,1103806,-46395,2873566,1712894,1160672,6263836,3332887,2930949
7-Aug-19,810931,698827,112104,1048660,981842,66818,2743907,1785739,958168,5943301,3364443,2578858
8-Aug-19,813357,637119,176238,1062150,865991,196159,2822898,1716576,1106322,6116070,3276996,2839074
9-Aug-19,799646,627275,172371,1141702,897324,244378,2887648,1575405,1312243,6185615,3065802,3119813
10-Aug-19,813844,594097,219747,1077014,826835,250179,2777189,1560959,1216230,5878575,3006971,2871604
11-Aug-19,905610,670227,235383,1189857,987111,202746,2991508,1542401,1449107,5170886,2496614,2674272
12-Aug-19,849469,636124,213345,1135797,906418,229379,3537162,1839584,1697578,6074639,2936193,3138446
13-Aug-19,866741,706844,159897,1117726,958006,159720,3044480,1712095,1332385,6569521,3397953,3171568
14-Aug-19,796020,634784,161236,1024173,849218,174955,3050552,1725891,1324661,6533166,3345133,3188033
15-Aug-19,755865,636258,119607,973331,846965,126366,2746275,1595634,1150641,5947617,3065314,2882303
16-Aug-19,878676,744041,134635,1156910,993560,163350,2723234,1602831,1120403,5883422,3095575,2787847
17-Aug-19,940394,656752,283642,1232674,929447,303227,3047038,1747744,1299294,6296207,3206270,3089937
18-Aug-19,961979,689708,272271,1220340,989864,230476,3388707,1710900,1677807,5653727,2716844,2936883
19-Aug-19,830364,630751,199613,1102915,1014915,88000,3316011,1865458,1450553,5608630,2961870,2646760
20-Aug-19,882455,683972,198483,1147648,1015478,132170,2814194,1575431,1238763,6115823,3092720,3023103
21-Aug-19,793625,718101,75524,1097736,1010363,87373,3125709,1699843,1425866,6620513,3212674,3407839
22-Aug-19,821065,657791,163274,1061928,895617,166311,2834483,1724346,1110137,6074377,3210317,2864060
23-Aug-19,663790,668033,-4243,847667,984039,-136372,2886781,1601661,1285120,6187841,3110698,3077143
24-Aug-19,697257,629708,67549,885067,911546,-26479,2543399,1641545,901854,5531601,3082789,2448812
25-Aug-19,800864,650634,150230,1032788,904427,128361,2613570,1577035,1036535,4552049,2496826,2055223
26-Aug-19,814900,604750,210150,1064450,951040,113410,2878393,1637467,1240926,4942612,2593592,2349020
27-Aug-19,783808,619111,164697,1041092,957723,83369,2797664,1501972,1295692,6133650,2973377,3160273
28-Aug-19,812835,618996,193839,1063019,967200,95819,2712809,1569537,1143272,5917653,3046463,2871190
29-Aug-19,864509,632905,231604,1106315,921106,185209,2700632,1564166,1136466,5839416,3042405,2797011
30-Aug-19,816058,617663,198395,1057057,874667,182390,2772898,1555743,1217155,5923766,2998815,2924951
31-Aug-19,766099,654669,111430,976722,915339,61383,2712490,1484192,1228298,5664626,2806248,2858378
1-Sep-19,797633,649517,148116,1008329,912945,95384,2583790,1587872,995918,4382152,2498698,1883454
2-Sep-19,823738,708465,115273,1101353,951649,149704,2914796,1608400,1306396,4902979,2485349,2417630
3-Sep-19,807914,647268,160646,1167030,943062,223968,2778182,1713739,1064443,5946815,3262470,2684345
4-Sep-19,895245,727329,167916,1181612,993269,188343,2601282,1603984,997298,5586317,3143267,2443050
5-Sep-19,789276,693992,95284,1020230,946842,73388,3053188,1756487,1296701,6510159,3389611,3120548
6-Sep-19,799204,686122,113082,1015698,927448,88250,2771279,1720852,1050427,5986255,3230119,2756136
7-Sep-19,818476,646246,172230,1044824,908855,135969,2738500,1718580,1019920,5776874,3152164,2624710
8-Sep-19,862469,693370,169099,1072005,1008435,63570,2815556,1634611,1180945,4724378,2526624,2197754
9-Sep-19,776825,688744,88081,992105,968741,23364,3173015,1811089,1361926,5410641,2847553,2563088
10-Sep-19,668431,644360,24071,889409,892813,-3404,2695179,1702815,992364,5892227,3250465,2641762
11-Sep-19,708676,604453,104223,936524,838866,97658,2369147,1572955,796192,5280924,3013017,2267907
12-Sep-19,714045,590224,123821,936718,809182,127536,2486568,1442585,1043983,5482840,2800071,2682769
13-Sep-19,680708,635003,45705,894930,836729,58201,2483228,1455569,1027659,5380212,2802954,2577258
14-Sep-19,698987,653197,45790,888164,925783,-37619,2458262,1517619,940643,5347021,2842739,2504282
15-Sep-19,742203,580130,162073,982138,818247,163891,2637565,1582429,1055136,4547171,2452158,2095013
16-Sep-19,718407,555098,163309,988630,791619,197011,2745034,1510552,1234482,4686876,2404309,2282567
17-Sep-19,710235,645849,64386,956926,906156,50770,2422843,1381841,1041002,5365320,2769142,2596178
18-Sep-19,700739,625509,75230,915566,936464,-20898,2533822,1533915,999907,5581763,2939316,2642447
19-Sep-19,729805,665897,63908,969351,986580,-17229,2457107,1494799,962308,5379967,2787690,2592277
20-Sep-19,726042,621604,104438,967759,873132,94627,2593583,1624072,969511,5604408,3006994,2597414
21-Sep-19,812217,687864,124353,1095189,924283,170906,2483299,1528174,955125,5234143,2799111,2435032
22-Sep-19,883375,830007,53368,1200577,1133449,67128,2964344,1801225,1163119,4898815,2739131,2159684
23-Sep-19,818741,763433,55308,1132549,1057729,74820,3312147,2228811,1083336,5507438,3319914,2187524
24-Sep-19,820455,722993,97462,1079486,1062670,16816,2843948,1856382,987566,6081885,3388264,2693621
25-Sep-19,873954,687024,186930,1136318,934680,201638,2897511,1743928,1153583,6256281,3269376,2986905
26-Sep-19,840621,638205,202416,1127802,844046,283756,3009833,1626897,1382936,6350583,3067183,3283400
27-Sep-19,790034,638933,151101,1061024,894062,166962,2938865,1553946,1384919,6190383,2951400,3238983
28-Sep-19,837635,752049,85586,1151119,1157922,-6803,2779093,1591272,1187821,5749006,2921639,2827367
29-Sep-19,845441,783422,62019,1139412,1067208,72204,2965331,1889675,1075656,4961612,2845777,2115835
30-Sep-19,930758,742234,188524,1269982,1065875,204107,3122409,1968133,1154276,5233730,2946410,2287320
1-Oct-19,856563,752608,103955,1179937,1041078,138859,3406017,1858346,1547671,7130012,3419833,3710179
2-Oct-19,831546,798879,32667,1124836,1077793,47043,3086494,1911427,1175067,6367916,3420462,2947454
3-Oct-19,864156,787359,76797,1211939,1091902,120037,2908907,1923069,985838,6078941,3349256,2729685
4-Oct-19,765414,771847,-6433,1089583,1745217,-655634,2980592,1912399,1068193,6082832,3324468,2758364
5-Oct-19,884094,785192,98902,1198984,1531399,-332415,2730265,1843547,886718,5544608,3140399,2404209
6-Oct-19,902183,857505,44678,1210602,1411788,-201186,3240446,2020821,1219625,5379588,3015543,2364045
7-Oct-19,931688,806264,125424,1294251,1257324,36927,3341582,2122651,1218931,5487391,3112632,2374759
8-Oct-19,838193,735594,102599,1148680,1069858,78822,3141469,1978605,1162864,6385534,3489215,2896319
9-Oct-19,854473,661763,192710,1147374,939722,207652,2907299,1839169,1068130,5997702,3315346,2682356
10-Oct-19,885849,790291,95558,1200811,1105822,94989,2937554,1678523,1259031,5904886,3024717,2880169
11-Oct-19,796369,807540,-11171,1083713,1135737,-52024,3089583,1925159,1164424,6350423,3374406,2976017
12-Oct-19,939784,811634,128150,1223329,1099393,123936,2889612,1936450,953162,5940941,3361333,2579608
13-Oct-19,878852,836917,41935,1190405,1132705,57700,3657117,2107937,1549180,6136725,3206045,2930680
14-Oct-19,868926,841647,27279,1175530,1163710,11820,3430530,2160280,1270250,5821938,3260066,2561872
15-Oct-19,801332,763357,37975,1070616,1119257,-48641,3058724,2052550,1006174,6507597,3721129,2786468
16-Oct-19,887400,781997,105403,1146295,1221635,-75340,2909448,1859336,1050112,6239314,3416946,2822368
17-Oct-19,825823,709155,116668,1094814,1014288,80526,3129857,1898125,1231732,6504701,3428366,3076335
18-Oct-19,798901,611038,187863,1062577,826364,236213,2854173,1713918,1140255,5976929,3127689,2849240
19-Oct-19,819491,689463,130028,1070753,912817,157936,2720856,1510127,1210729,5726293,2826286,2900007
20-Oct-19,928663,833531,95132,1246348,1135753,110595,3029238,1815102,1214136,5136917,2829368,2307549
21-Oct-19,833010,846790,-13780,1150298,1176622,-26324,3899443,2367292,1532151,6464717,3573294,2891423
22-Oct-19,944684,924856,19828,1246847,1214265,32582,3112708,2120349,992359,6630746,3765806,2864940
23-Oct-19,881163,841720,39443,1174089,1136947,37142,3485788,2432846,1052942,7358895,4486955,2871940
24-Oct-19,809880,835901,-26021,1065454,1137399,-71945,3289882,2223589,1066293,6900946,4051144,2849802
25-Oct-19,771025,799332,-28307,1016478,1122977,-106499,2996211,2107534,888677,6423491,3789174,2634317
26-Oct-19,774569,808580,-34011,1030009,1134575,-104566,2782739,1876189,906550,5725858,3273081,2452777
27-Oct-19,903570,838207,65363,1270281,1363776,-93495,2903375,2017886,885489,4699369,2914568,1784801
28-Oct-19,825551,786977,38574,1101367,1170580,-69213,3473568,2260469,1213099,5549028,3237234,2311794
29-Oct-19,778138,606784,171354,1036747,853790,182957,3017554,2008035,1009519,5096418,3014686,2081732
30-Oct-19,781878,809249,-27371,1038283,1123741,-85458,2730987,1617840,1113147,5820947,3107973,2712974
31-Oct-19,828644,703921,124723,1105082,977388,127694,2809614,1920894,888720,5977413,3397668,2579745
1-Nov-19,787611,685371,102240,1046162,945063,101099,2860531,1665048,1195483,5835156,3006766,2828390
2-Nov-19,859731,725919,133812,1120731,1048983,71748,2825558,1658303,1167255,5732928,2960149,2772779
3-Nov-19,856045,845024,11021,1191568,1205389,-13821,3178543,1921142,1257401,5225796,2895875,2329921
4-Nov-19,831300,745986,85314,1172973,1105269,67704,3214046,2178937,1035109,5320767,3216891,2103876
5-Nov-19,773805,774334,-529,1158233,1057480,100753,3012432,1830286,1182146,6312182,3323561,2988621
6-Nov-19,763074,878857,-115783,1081028,1192060,-111032,2779993,1839146,940847,5853941,3296170,2557771
7-Nov-19,762405,747658,14747,1035064,1001379,33685,2820884,2091721,729163,6009046,3564493,2444553
8-Nov-19,741432,736259,5173,998164,982809,15355,2710492,1761189,949303,5760565,3131738,2628827
9-Nov-19,780498,719566,60932,1018635,938391,80244,2665139,1733730,931409,5575264,3028512,2546752
10-Nov-19,869930,800858,69072,1097167,1062110,35057,2827267,1766530,1060737,4791507,2657595,2133912
11-Nov-19,792043,773064,18979,1033926,1067114,-33188,3255127,1922420,1332707,5506080,2887034,2619046
12-Nov-19,820521,829978,-9457,1061746,1149398,-87652,2782848,1805840,977008,6044060,3272158,2771902
13-Nov-19,762962,769746,-6784,1039673,1030131,9542,2876349,1959656,916693,6123104,3490944,2632160
14-Nov-19,800737,708300,92437,1008469,943478,64991,2682301,1803497,878804,5764081,3225679,2538402
15-Nov-19,821739,733133,88606,1064347,959930,104417,2816386,1684435,1131951,5913917,3085551,2828366
16-Nov-19,801325,727560,73765,1012592,949662,62930,2743520,1791175,952345,5460630,3087052,2373578
,,,,,,,2894129,1800154,1093975,4849557,2694743,2154814
